index;Флойд-Уоршелл + полный граф;Флойд-Уоршелл + дерево;Флойд-Уоршелл + средне-связный граф;Дейкстра + полный граф;Дейкстра + дерево;Дейкстра + средне-связный граф;Беллман-Форд + полный граф;Беллман-Форд + дерево;Беллман-Форд + средне-связный граф
10;8600;7700;8800;34200;10100;8000;4900;3200;2800
60;570200;414100;556900;180400;31400;145100;294500;24600;127500
110;3051400;2312600;3164800;425700;68300;352600;1894900;58900;2159300
160;8981700;7105500;9449000;804400;104300;603200;5323200;108800;3970500
210;18393600;16964100;20280700;1081600;132700;849400;23380800;170600;8291800
260;35258300;32946400;33363000;1859000;165500;1088500;38610100;243900;13046700
310;55282700;49062900;63622200;2312900;194400;1656300;70527600;338700;22628700
360;82749600;76540500;113254000;2849400;218200;2358400;122204900;425500;47728100
410;149188000;118281600;129143100;4209300;283600;2444200;181071900;528700;73611400
460;178035500;161856600;177616000;4299200;289500;2829100;395315000;653700;99964200
510;242329000;224630200;255658100;5362800;319100;3231800;554860900;744100;156328800
560;312964600;243223800;232102000;7829800;269600;3951400;679726500;654400;156263000
610;255304300;237852300;266070000;7894200;289500;5031100;743598500;664600;212185000
660;331529400;297984100;344070700;8903800;331300;4906900;864516600;781500;448222100
710;470953500;415218400;452297300;9708100;324500;4000200;890787500;931500;347691900
760;566512100;498362400;563210700;8630400;324500;5422400;1040647700;992400;410776500
810;750576600;690055100;754158200;8984100;347600;4888900;1269776700;1212400;488540600
860;885559300;770011500;927073800;8162800;389200;5472400;1517379900;2917900;576642100
910;1082246000;962813900;1078031700;8713600;408000;5943400;1849182300;2897000;687660200
960;1285206800;1077002400;1335958700;10974200;412200;6169700;2194715700;1687200;810614100
1010;1463608100;1298341100;1485739900;11237500;455700;6835600;2559266000;1838000;952395100
